Game Name,TA,GS,TAD,Num,Time,Score
World of Tanks,7851,2235,5616,122,3083.0,222.23548491728835
World of Outlaws: Dirt Racing 24,2054,1000,1054,32,64.0,527.0
World of Outlaws: Dirt Racing,2115,1000,1115,33,25.0,1471.8
World War Z,4291,1000,3291,35,150.0,767.9
World Soccer Strikers '91,1175,1000,175,21,1.0,3675.0
World Soccer Pinball,1649,1000,649,15,1.0,9735.0
World Of Solitaire,1431,1000,431,10,50.0,86.2
World II: Hunting Boss (CN),1054,1000,54,22,3.0,396.0
World II: Hunting Boss,1198,1000,198,22,3.0,1452.0
World Enduro Rally,2993,1270,1723,74,9.0,14166.888888888889
World Cruise Story,1510,1000,510,10,25.0,204.0
Working Hard Collection,1002,1000,2,12,0.5,48.0
Wordsweeper by POWGI,1119,1000,119,26,2.0,1547.0
Words Of Wisdom,1010,1000,10,13,0.5,260.0
Wordbreaker by POWGI,1024,1000,24,37,0.5,1776.0
Word Wheel by POWGI,1077,1000,77,32,1.0,2464.0
Word Web by POWGI,1065,1000,65,28,0.5,3640.0
Word Sudoku by POWGI,1112,1000,112,27,2.0,1512.0
Word Quest: Medieval,1005,1000,5,12,0.5,120.0
Word Maze by POWGI,1101,1000,101,32,1.0,3232.0
Worbital,5533,1000,4533,42,88.0,2163.4772727272725
Woodle Tree Adventures,1077,1000,77,10,1.0,770.0
Woodle Tree 2: Deluxe+,2618,1000,1618,21,20.0,1698.9
Wondershot,5305,1000,4305,56,36.0,6696.666666666667
Wonderland Nights: White Rabbit's Diary,1055,1000,55,42,1.0,2310.0
Wonder Boy: The Dragon's Trap,1934,1000,934,13,1.0,12142.0
Wonder Blade,2266,1000,1266,45,22.0,2589.5454545454545
Wolfenstein: Youngblood,2973,1000,1973,60,50.0,2367.6
Wolfenstein: The Old Blood,2310,1000,1310,50,15.0,4366.666666666667
Wolfenstein: The New Order,1964,1000,964,50,20.0,2410.0
Wolfenstein II: The New Colossus,3952,1000,2952,50,80.0,1845.0
Wolf Fang / Skull Fang Saturn Tribute Boosted,1885,1000,885,17,6.0,2507.5
Wolcen: Lords of Mayhem,3842,1000,2842,64,223.0,815.6412556053812
Wobbly Life,4529,1540,2989,50,45.5,3284.6153846153848
Wobbledogs,4358,1000,3358,62,57.0,3652.561403508772
Wo Long: Fallen Dynasty,2655,1000,1655,51,40.0,2110.125
Wizodd,1239,1000,239,12,1.0,2868.0
Wizards of Brandel,1428,1000,428,32,12.0,1141.3333333333333
Wizardry: Proving Grounds of the Mad Overlord,2614,1000,1614,28,40.0,1129.8
Wizard of Legend,4284,1000,3284,19,20.0,3119.8
Without a Voice,1047,1000,47,11,0.5,1034.0
Without Escape,1010,1000,10,12,0.5,240.0
Within the Blade,1701,1000,701,31,3.0,7243.666666666667
Witchcrafty (Xbox One),1619,1000,619,29,2.0,8975.5
Witch Rise,1058,1000,58,11,0.5,1276.0
Winx Club: Alfea Butterflix Adventures,1268,1000,268,10,3.0,893.3333333333334
Wintermoor Tactics Club,1747,1000,747,29,6.0,3610.5
Winter Games 2023,1955,1000,955,25,6.0,3979.1666666666665
Winter Ember,3546,1000,2546,35,23.0,3874.3478260869565
Winkeltje: The Little Shop,1940,1000,940,12,15.0,752.0
Wings of Endless,3157,1000,2157,36,19.0,4086.9473684210525
Wings of Bluestar,2322,2000,322,17,1.5,3649.3333333333335
Windscape,1335,1000,335,16,6.0,893.3333333333334
Windjammers 2,5953,1000,4953,28,15.0,9245.6
Windbound,6948,1000,5948,30,40.0,4461.0
Windborn: Journey to the South,1046,1000,46,10,0.5,920.0
Wind Peaks,1087,1000,87,14,1.0,1218.0
Wilmot's Warehouse,3065,1000,2065,32,15.0,4405.333333333333
Willy's Wonderland - The Game,1200,1000,200,20,0.5,8000.0
Willy Morgan and the Curse of Bone Town,1126,1000,126,35,1.0,4410.0
Will You Snail?,2946,1000,1946,29,27.0,2090.1481481481483
Will Die Alone,1009,1000,9,14,0.5,252.0
Wildshade: Unicorn Champions,1302,1000,302,35,20.0,528.5
Wildfrost,3273,1000,2273,27,35.0,1753.4571428571428
Wildfire,4067,1000,3067,60,34.0,5412.35294117647
Wildcat Gun Machine,2543,1000,1543,20,23.0,1341.7391304347825
WildTrax Racing,1040,1000,40,10,0.5,800.0
Wild West Crops,1020,1000,20,11,0.5,440.0
Wild Seas,2167,2000,167,23,1.0,3841.0
Wild Rumble,3103,1000,2103,20,13.0,3235.3846153846152
Wild Dogs,1849,1000,849,29,4.0,6155.25
Wild Card Football,4079,1000,3079,37,107.0,1064.7009345794393
Wife Quest,2044,1000,1044,20,6.0,3480.0
Wick,3150,1000,2150,37,12.0,6629.166666666667
Why Pizza? (Xbox One),1157,1000,157,14,0.5,4396.0
Who's Your Daddy?!,5032,1780,3252,33,1.0,107316.0
Who Wants to Be a Millionaire?,1716,1000,716,11,6.0,1312.6666666666667
Who Pressed Mute on Uncle Marcus?,1288,1000,288,17,4.0,1224.0
White Noise 2,2436,1000,1436,48,12.0,5744.0
White Night,2303,1000,1303,33,6.0,7166.5
