Name,Base TA,Overall TA,Base GS,Overall GS,Base Ratio,Overall Ratio,Base Time,Overall Time,Max Time,Site Rating,Num Gamers,Base Num Achievements,Overall Num Achievements,Base SSD,Base TAD Rate,Overall SSD Rate,Overall TAD Rate,Developer(s),Publisher(s),is 360?,BCMX Value,PDU,Server Closure,Delisted,Install Size
Super Lucky's Tale,3536,5214,1280,2000,2.7625,2.607,17.5,24.5,28.0,3.6,153299,54,58,718.2766666666668,128.9142857142857,30.974557823129253,131.18367346938774,Playful Studios,Xbox Game Studios,False,117.86085250714932,0,False,False,10300.0
Sunset Overdrive,4776,5806,1475,1925,3.2379661016949153,3.016103896103896,50.25,55.25,63.0,4.26,443492,83,88,1510.4768844221105,65.69154228855722,29.164589159977865,70.24434389140272,Insomniac Games,Xbox Game Studios,False,329.9970031928715,0,False,False,26060.0
Sunset Overdrive,4776,5806,1475,1925,3.2379661016949153,3.016103896103896,50.25,55.25,63.0,4.26,443492,83,88,1510.4768844221105,65.69154228855722,29.164589159977865,70.24434389140272,Insomniac Games,Xbox Game Studios,False,329.9970031928715,0,False,False,26060.0
Stranded Deep,4739,4739,1000,1000,4.739,4.739,0.25,0.25,0.5,3.08,150449,35,35,1187.666666666667,14956.0,4750.666666666668,14956.0,"Beam Team Games, Fun Labs",Beam Team Games,False,5.158222451072656,0,False,False,1640.0
Story of Seasons: Friends of Mineral Town,3407,3407,1000,1000,3.407,3.407,90.0,90.0,100.0,4.04,4710,35,35,711.3666666666667,26.744444444444444,7.9040740740740745,26.744444444444444,"Marvelous Entertainment, Natsume","Marvelous Entertainment, XSEED Games",False,628.8661236145575,0,False,False,1150.0
SteamWorld Build,2802,2802,1000,1000,2.802,2.802,27.5,27.5,30.0,4.0,26978,28,28,390.9333333333334,65.52727272727273,14.215757575757578,65.52727272727273,Thunderful Games,Thunderful Games,False,140.70951015194387,0,False,False,2720.0
State of Decay: Year-One,2390,4120,1000,1500,2.39,2.7466666666666666,70.0,106.5,120.0,3.98,189420,68,72,1158.0666666666664,19.857142857142858,11.676682316118933,24.600938967136152,Undead Labs,Xbox Game Studios,False,546.248404543818,0,False,False,3920.0
State of Decay 2: Juggernaut Edition,10650,10650,2400,2400,4.4375,4.4375,369.25,369.25,422.0,3.9,444513,153,153,4444.111904761905,22.34258632362898,12.035509559273947,22.34258632362898,Undead Labs,Xbox Game Studios,False,3944.7546797485943,0,False,False,18340.0
Starfield,2498,2498,1000,1000,2.498,2.498,90.0,90.0,100.0,4.19,414517,50,50,596.2666666666667,16.644444444444446,6.625185185185185,16.644444444444446,Bethesda Game Studios,Bethesda Softworks,False,394.8104607530049,0,False,False,140190.0
Stardew Valley,3148,3148,1000,1000,3.148,3.148,175.0,175.0,200.0,4.65,99972,40,40,590.55,12.274285714285714,3.374571428571428,12.274285714285714,ConcernedApe,"ConcernedApe, 505 Games",False,1117.0743536936118,0,False,False,1300.0
Stacking,286,355,200,250,1.43,1.42,7.0,8.5,10.0,3.92,26534,20,21,83.16666666666667,12.285714285714286,10.254901960784315,12.352941176470589,Double Fine,THQ,True,39.90645060638693,0,False,False,994.0
Spirittea,2828,2828,1000,1000,2.828,2.828,70.0,70.0,80.0,3.26,1115,15,15,271.8071428571428,26.114285714285714,3.882959183673469,26.114285714285714,Cheesemaster Games,No More Robots,False,380.46007981495245,0,False,False,712.0
Spiritfarer: Farewell Edition,2087,2087,1000,1000,2.087,2.087,32.5,32.5,35.0,4.33,44941,39,39,362.69740259740263,33.44615384615385,11.15992007992008,33.44615384615385,Thunder Lotus Games,Thunder Lotus Games,False,105.52411485615505,0,False,False,6700.0
Spirit of the North: Enhanced Edition,2529,2529,1000,1000,2.529,2.529,7.0,7.0,8.0,3.17,24056,24,24,295.6944444444444,218.42857142857142,42.24206349206349,218.42857142857142,Infuse Studio,Merge Games,False,32.17460552821122,0,False,False,3900.0
SpiderHeck,21748,21748,1470,1470,14.794557823129251,14.794557823129251,82.5,82.5,90.0,3.07,74757,39,39,2984.383333333333,245.79393939393938,36.174343434343434,245.79393939393938,Neverjam,tinyBuild,False,5121.480150094042,0,False,False,1410.0
Spacelines from the Far Out,3820,3820,1000,1000,3.82,3.82,22.5,22.5,25.0,2.96,33888,44,44,998.4380952380953,125.33333333333333,44.37502645502646,125.33333333333333,Coffeenauts,Skystone Games,False,186.6530337283592,0,False,False,6610.0
Soul Hackers 2,4578,4578,1000,1000,4.578,4.578,70.0,70.0,80.0,3.61,45929,47,47,1091.9166666666665,51.114285714285714,15.598809523809521,51.114285714285714,Atlus,SEGA,False,783.6166758899406,0,False,False,19270.0
Somerville,1684,1684,1000,1000,1.684,1.684,4.5,4.5,5.0,3.37,46823,11,11,65.3,152.0,14.511111111111111,152.0,Jumpship,Jumpship,False,10.926551953841614,0,False,False,10250.0
Solar Ash,3526,3526,1000,1000,3.526,3.526,17.5,17.5,20.0,3.57,24915,32,32,724.5833333333334,144.34285714285716,41.404761904761905,144.34285714285716,Heart Machine,Annapurna Interactive,False,132.41996160096105,0,False,False,3270.0
Soccer Story,2602,2602,1000,1000,2.602,2.602,13.5,13.5,15.0,2.94,25920,20,20,230.8,118.66666666666667,17.0962962962963,118.66666666666667,PanicBarn,No More Robots,False,62.95818470858257,0,False,False,1820.0
SnowRunner,4570,4570,1000,1000,4.57,4.57,175.0,175.0,200.0,4.15,119045,37,37,1255.9333333333332,20.4,7.176761904761904,20.4,Saber Interactive,Focus Entertainment,False,1953.9088310358802,0,False,False,26820.0
Sniper Elite 5,2736,3783,1000,1375,2.736,2.751272727272727,27.5,34.25,39.0,4.07,117018,58,71,908.8809523809526,63.127272727272725,33.16440736878693,70.30656934306569,"Rebellion, Flix Interactive","Rebellion, Fireshine Games",False,177.97748756296852,0,False,False,113670.0
Slayers X: Terminal Aftermath: Vengance of the Slayer,2618,2618,1000,1000,2.618,2.618,7.0,7.0,8.0,3.15,12137,19,19,314.34880952380956,231.14285714285714,44.90697278911565,231.14285714285714,Big Z Studios,No More Robots,False,33.88788388270947,0,False,False,3180.0
Slay The Spire,4817,4817,1070,1070,4.501869158878504,4.501869158878504,177.5,177.5,203.0,4.28,75884,46,46,1124.3000000000002,21.109859154929577,6.334084507042254,21.109859154929577,MegaCrit,Humble Games,False,1939.0336275164775,0,False,False,561.0
Shredders,3037,3037,1000,1000,3.037,3.037,9.0,9.0,10.0,3.27,27848,35,35,593.3499999999999,226.33333333333334,65.92777777777776,226.33333333333334,FoamPunch,FoamPunch,False,52.925770332608295,0,False,False,18270.0
Shadowrun: Hong Kong - Extended Edition,3065,3065,1000,1000,3.065,3.065,55.0,55.0,60.0,3.63,2043,60,60,1098.6666666666665,37.54545454545455,19.975757575757573,37.54545454545455,"Harebrained Schemes, Codeglue",Paradox Interactive,False,321.9563303462133,0,False,False,2460.0
Shadowrun: Dragonfall - Director's Cut,3157,3157,1000,1000,3.157,3.157,45.0,45.0,50.0,3.86,3595,39,39,712.3928571428572,47.93333333333333,15.830952380952382,47.93333333333333,"Harebrained Schemes, Codeglue",Paradox Interactive,False,280.4670697827109,0,False,False,2330.0
Shadowrun Returns,2741,2741,1000,1000,2.741,2.741,22.5,22.5,25.0,3.61,8323,40,40,746.7738095238095,77.37777777777778,33.18994708994709,77.37777777777778,"Harebrained Schemes, Codeglue",Paradox Interactive,False,113.44975490553075,0,False,False,1920.0
Shadow Warrior 3: Definitive Edition,1825,1825,1000,1000,1.825,1.825,9.0,9.0,10.0,3.61,58506,38,38,245.8452380952381,91.66666666666667,27.316137566137566,91.66666666666667,Flying Wild Hog,Devolver Digital,False,24.65439235714399,0,False,False,18950.0
Serious Sam: Siberian Mayhem,7752,7752,1000,1000,7.752,7.752,13.5,13.5,15.0,3.11,29999,49,49,2380.912604062604,500.14814814814815,176.3638965972299,500.14814814814815,"Croteam, Timelock Studio",Devolver Digital,False,323.75158636954967,0,False,False,19810.0
Sea of Thieves,49187,49187,5360,5360,9.176679104477612,9.176679104477612,2175.75,1000.0,1000.0,3.81,583731,266,266,15532.02802197802,20.14339882799035,15.53202802197802,43.827,Rare,Xbox Game Studios,False,27798.945234965155,13,False,False,102160.0
Sea of Stars,2311,2311,1000,1000,2.311,2.311,45.0,45.0,50.0,4.43,48623,42,42,442.87500000000006,29.133333333333333,9.841666666666669,29.133333333333333,Sabotage Studio,"Sabotage Studio, iam8bit",False,175.65880444059727,0,False,False,4340.0
ScreamRide,13857,13857,1000,1000,13.857,13.857,55.0,55.0,60.0,2.99,96049,47,47,4009.433333333334,233.76363636363635,72.89878787878789,233.76363636363635,Frontier Developments,Xbox Game Studios,False,3094.960252031486,5,False,False,4450.0
Scorn,1438,1438,1000,1000,1.438,1.438,5.5,5.5,6.0,3.33,78581,12,12,53.475,79.63636363636364,9.722727272727273,79.63636363636364,Ebb Software,"Kepler Interactive, Maximum Games",False,10.346407501737016,0,False,False,28150.0
SOMA,1356,1356,1000,1000,1.356,1.356,7.0,7.0,8.0,3.98,31198,10,10,33.9047619047619,50.857142857142854,4.8435374149659856,50.857142857142854,"Frictional Games, BlitWorks",Frictional Games,False,12.632215364851884,0,False,False,20020.0
SD Gundam Battle Alliance,2744,2744,1000,1000,2.744,2.744,27.5,27.5,30.0,3.48,16529,43,43,613.3999999999999,63.41818181818182,22.30545454545454,63.41818181818182,ArtDink,Bandai Namco Entertainment,False,136.36327256853292,0,False,False,25860.0
Ryse: Son of Rome,3189,4969,1300,2000,2.453076923076923,2.4845,46.5,54.0,61.0,3.94,447050,65,76,945.0,40.623655913978496,20.44444444444445,54.98148148148148,Crytek,Xbox Game Studios,False,238.88470083983222,0,False,False,36960.0
Rush: A Disney Pixar Adventure,3404,3404,1000,1000,3.404,3.404,17.5,17.5,20.0,2.87,154199,50,50,1199.6333333333332,137.37142857142857,68.55047619047619,137.37142857142857,Asobo Studio,Xbox Game Studios,False,125.60713875254065,0,False,False,20750.0
Rune Factory 4 Special,5635,5635,1000,1000,5.635,5.635,250.0,250.0,300.0,4.07,5981,38,38,1220.5555555555557,18.54,4.8822222222222225,18.54,"HAKAMA, Marvelous Entertainment",Marvelous Entertainment,False,4012.935092765643,0,False,False,5100.0
Rollerdrome,5106,5106,1000,1000,5.106,5.106,9.0,9.0,10.0,3.54,30775,21,21,657.7142857142857,456.22222222222223,73.07936507936508,456.22222222222223,Roll7,Private Division,False,115.37752424800941,0,False,False,4490.0
Roboquest,2434,2434,1000,1000,2.434,2.434,45.0,45.0,50.0,4.14,34999,76,76,895.6666666666667,31.866666666666667,19.903703703703705,31.866666666666667,RyseUp Studios,"Starbreeze Studios, RyseUp Studios",False,189.86760192302427,0,False,False,4570.0
Rise of the Tomb Raider,2477,6372,1000,2250,2.477,2.832,45.0,69.0,77.0,4.5,338369,92,143,1663.3666666666668,32.82222222222222,36.12729468599034,59.73913043478261,Crystal Dynamics,Crystal Dynamics,False,366.97003110318417,2,False,False,51080.0
Return to Monkey Island,2952,2952,1000,1000,2.952,2.952,17.5,17.5,20.0,4.08,26001,39,39,560.125,111.54285714285714,32.00714285714286,111.54285714285714,Terrible Toybox,"Devolver Digital, Limited Run Games",False,101.4388986691003,0,False,False,4600.0
Remnant: From the Ashes,2163,3606,1000,1500,2.163,2.404,45.0,72.0,80.0,3.93,169158,43,50,516.5166666666667,25.844444444444445,8.71550925925926,29.25,Gunfire Games,Perfect World Entertainment,False,298.1890435438566,0,False,False,36230.0
Remnant II,2148,3430,1000,1500,2.148,2.2866666666666666,70.0,83.5,95.0,4.13,111564,52,60,570.6666666666665,16.4,8.441516966067862,23.11377245508982,Gunfire Games,"Gearbox Publishing, THQ Nordic",False,328.494344356298,0,False,False,73750.0
Redfall,3685,3685,1000,1000,3.685,3.685,45.0,45.0,50.0,2.74,145381,66,66,1540.9831932773109,59.666666666666664,34.244070961718016,59.666666666666664,Arkane Studios,Bethesda Softworks,False,353.6928191418367,0,False,False,102280.0
ReCore,5422,5422,1500,1500,3.6146666666666665,3.6146666666666665,54.0,54.0,60.0,3.64,227129,73,73,2021.2833333333328,72.62962962962963,37.43117283950616,72.62962962962963,"Armature Studio, Comcept, Asobo Studio",Xbox Game Studios,False,412.3382578392001,0,False,False,13660.0
Ravenlok,1552,1552,1000,1000,1.552,1.552,4.5,4.5,5.0,3.73,73000,50,50,232.14999999999998,122.66666666666667,51.58888888888888,122.66666666666667,Cococucumber,Cococucumber,False,9.66735306068833,0,False,False,4059.9999999999995
Rare Replay,27734,27734,4000,4000,6.9335,6.9335,250.0,250.0,300.0,4.14,239644,200,200,10011.249999999998,94.936,40.044999999999995,94.936,"Rare, Code Mystics",Xbox Game Studios,False,5477.0919825518495,0,False,False,11540.0
Rainbow Billy: The Curse of the Leviathan,1961,1961,1000,1000,1.961,1.961,17.5,17.5,20.0,3.51,9548,39,39,344.8833333333333,54.91428571428571,19.707619047619048,54.91428571428571,ManaVoid Entertainment,Skybound Games,False,54.92200535668741,0,False,False,4370.0
