Game Name,Overall Completion Time,Overall Ratio,Install Size (MB)
Resident Evil 3: Z Version,8.0-10.0,1.146,22600.0
Hot Wheels Unleashed 2 - Turbocharged,15.0-22.0,3.0966101694915253,22380.0
Crash Team Racing Nitro-Fueled,40.0-50.0,3.203,22370.0
Yakuza Kiwami,60.0-80.0,3.125,22330.0
Persona 3 Reload,95.0-120.0,1.7459227467811158,22250.0
Wreckfest,20.0-25.0,3.099,22020.0
Palworld,36.5-48.0,4.257923497267759,21930.0
EA SPORTS UFC 3,100.0-120.0,5.58,21890.0
Need for Speed Hot Pursuit Remastered,30.0-35.0,4.307,21830.0
RAGE,32.0-40.0,2.4416,21200.0
Wasteland 3 (Windows),91.0-114.0,4.660402684563758,20940.0
Rush: A Disney Pixar Adventure,15.0-20.0,3.401,20750.0
MechWarrior 5: Mercenaries,60.0-80.0,2.917,20560.0
Bleeding Edge,8.0-10.0,2.259,20210.0
Need for Speed,107.0-136.0,4.608636363636363,20150.0
Kunitsu-Gami: Path of the Goddess,30.0-35.0,4.935,20130.0
Stellaris (Windows),300.0-500.0,4.174005819592629,19840.0
Battletoads,15.0-20.0,4.007,19290.0
Crackdown 3: Campaign,26.5-33.0,3.732,19020.0
Crash Bandicoot N. Sane Trilogy,40.0-50.0,3.7163333333333335,18900.0
Hellblade: Senua's Sacrifice (Windows),6.0-8.0,1.588,18850.0
State of Decay 2: Juggernaut Edition,316.5-422.0,4.33,18340.0
Yakuza 3 Remastered,80.0-100.0,3.273,17870.0
Gigantic: Rampage Edition,247.0-248.0,14.854,17710.0
Plants vs. Zombies Garden Warfare,56.0-70.0,2.522,17500.0
A Way Out,6.0-8.0,1.79,17440.0
Expeditions: A MudRunner Game,60.0-80.0,5.156,17040.0
Flintlock: The Siege of Dawn,15.0-20.0,2.082,17020.0
Cities: Skylines - Remastered,225.5-298.0,4.680442804428044,16940.0
Mirror's Edge Catalyst,25.0-30.0,3.361,16800.0
Ashen,51.0-62.0,3.364995602462621,16790.0
Need for Speed Rivals,40.0-50.0,3.581,16580.0
The Bard's Tale IV: Director's Cut,50.0-60.0,4.513,16570.0
The Lamplighters League,50.0-60.0,3.896,16560.0
Dishonored Definitive Edition (Windows),40.0-50.0,3.2219512195121953,16309.999999999998
Hi-Fi RUSH,68.0-90.0,7.492,16050.0
Hellblade: Senua's Sacrifice,6.0-8.0,1.598,15440.0
Stellaris: Console Edition,80.0-100.0,3.4228504122497054,15420.0
Isonzo,60.0-80.0,4.453,15000.0
Dead Space 3,51.0-62.0,2.4712,14920.0
Superliminal,9.0-12.0,3.714166666666667,14410.0
Pillars of Eternity,80.0-100.0,3.145,14260.0
Road 96,6.0-8.0,1.505,13940.0
Trials of Mana,40.0-50.0,2.508,13930.0
Turbo Golf Racing,35.0-40.0,4.872,13840.0
ReCore,48.0-60.0,3.61,13660.0
Super Mega Baseball 3,60.0-80.0,9.463,13580.0
DayZ,1.0-2.0,3.549,13390.0
Nickelodeon All-Star Brawl 2,12.0-15.0,5.316,13260.0
Journey to the Savage Planet: Employee of the Month Edition,15.0-20.0,3.283,13200.0
Descenders,100.0-125.0,9.356,13110.0
Dead Space 2 (DE),20.0-25.0,1.716,12680.0
Dead Space 2,26.0-32.0,1.7504,12620.0
Orcs Must Die! 3,43.0-50.0,3.550232558139535,12570.0
Mass Effect 2,55.0-70.0,1.3394833948339484,12500.0
Crusader Kings III,781.0-782.0,8.17556270096463,12230.0
Age of Empires: Definitive Edition (Windows),2.0-3.0,1.5464,12180.0
My Time at Sandrock Online,60.0-80.0,3.294,12110.0
Manor Lords (Windows),25.0-30.0,5.728,11830.0
Tchia,20.0-25.0,2.098,11720.0
Coral Island,383.0-384.0,3.229,11430.0
Ori and the Will of the Wisps,20.0-25.0,3.378,11410.0
Journey to the Savage Planet: Employee of the Month Edition (Windows),12.0-15.0,2.942,11330.0
Disney Dreamlight Valley,200.0-300.0,2.125,11300.0
Pentiment,20.0-25.0,1.889,11110.0
The Gunk,6.0-8.0,1.634,11100.0
Frostpunk 2,70.0-71.0,6.512781954887218,10940.0
Mass Effect 3,58.0-72.0,1.5303225806451612,10600.0
Super Lucky's Tale,21.0-28.0,2.598,10300.0
Grounded,0.0-3.0,3.0584848484848486,10200.0
Cooking Simulator,8.0-10.0,12.671914893617021,9980.0
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,12.0-15.0,1.876,9980.0
HUMANITY,15.0-20.0,3.136,9820.0
Trailmakers,15.0-20.5,3.5175,9770.0
Cities: Skylines,283.5-373.5,4.835055350553506,9660.0
Legend of Mana,35.0-40.0,6.887,9580.0
Halo Wars: Definitive Edition,25.0-30.0,3.284,9510.0
Ori and the Blind Forest: Definitive Edition,20.0-25.0,3.2984,9480.0
Planet of Lana,6.0-8.0,2.796,9410.0
Wasteland 2: Director's Cut,80.0-100.0,2.852,9310.0
Wasteland 2: Director's Cut,80.0-100.0,2.852,9310.0
Mass Effect 2 (JP),40.0-50.0,1.2466019417475729,9300.0
The Last Case of Benedict Fox: Definitive Edition,15.0-20.0,2.653,9280.0
Still Wakes The Deep,8.0-10.0,2.101,9200.0
Tell Me Why,7.0-10.0,1.4213333333333333,9000.0
Zoo Tycoon: Ultimate Animal Collection,80.0-100.0,7.704,8970.0
Frostpunk (Windows),20.0-25.0,4.334328358208955,8960.0
Lost In Random,15.0-20.0,2.548,8930.0
Jusant,6.0-8.0,2.431,8900.0
Creatures of Ava,20.0-25.0,4.16,8820.0
Dungeons of Hinterberg,19.0-25.0,2.9615686274509803,8690.0
Open Roads,0.5-1.0,1.137,8640.0
Crusader Kings III (Windows),150.0-200.0,4.988444444444444,8580.0
PowerWash Simulator,40.0-50.0,2.639473684210526,8470.0
Overcooked! 2 (Windows),16.0-22.0,3.0716666666666668,8010.0
Train Sim World 5,1.0-2.0,4.242222222222222,7830.0
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated (Windows),8.0-10.0,2.04,7740.0
Hollow Knight: Voidheart Edition,60.0-80.0,3.631,7660.0
Burnout Paradise Remastered,60.0-80.0,6.231,7660.0
DOOM 3,25.0-30.0,3.199,7480.0
Gears of War 3,1000.0-1000.0,2.849,7320.0
Octopath Traveler II,80.0-100.0,3.47,7210.0
Minecraft Legends,22.0-28.0,7.8165,7080.0
Go Mecha Ball,20.0-25.0,6.589,7060.0
Gears of War: Judgment,58.0-70.0,2.978,7040.0
Torment: Tides of Numenera,80.0-100.0,5.46,7030.0
Depersonalization (Windows),23.0-24.0,6.116,7000.0
Jurassic World Evolution 2,67.0-90.0,6.035714285714286,6890.0
Mass Effect,62.0-84.0,1.8583333333333334,6830.0
Dragon Age II,65.0-88.0,1.735036496350365,6810.0
Homestead Arcana,20.0-25.0,4.013,6710.0
Fable II,31.0-38.0,1.5725925925925925,6590.0
Medieval Dynasty,60.0-80.0,4.665,6520.0
Journey to the Savage Planet,21.0-28.0,2.8845283018867924,6500.0
For The King II,129.0-130.0,8.473,6480.0
We Love Katamari REROLL+ Royal Reverie,12.0-15.0,2.376,6440.0
Dragon Age: Origins,75.0-104.0,1.7474285714285713,6440.0
Dead Space (2008),20.0-25.0,1.811,6400.0
Return to Grace,4.0-5.0,1.431,6360.0
Gears of War 2,107.0-134.0,2.0114285714285716,6290.0
Gears of War,163.0-216.0,2.88,6270.0
Golf With Your Friends,12.5-17.5,3.8436260623229463,6230.0
Army of TWO (EU),33.0-40.0,2.3224,6210.0
Army of TWO,51.0-64.0,2.5096,6210.0
Banjo-Kazooie: Nuts & Bolts,35.0-41.0,3.18,6160.0
Nine Sols,30.0-35.0,2.585,6150.0
Kameo: Elements of Power,38.0-48.5,3.993,6090.0
Skate 3,28.0-36.0,3.3186666666666667,6000.0
Brütal Legend,41.0-52.0,2.9146788990825687,5910.0
Neon White,20.0-25.0,3.856,5880.0
The Elder Scrolls IV: Oblivion,68.0-90.0,1.4768,5870.0
Against the Storm (Windows),200.0-300.0,3.986607142857143,5810.0
Star Trucker,50.0-60.0,10.297,5790.0
All You Need Is Help,15.0-20.0,5.778,5720.0
New Super Lucky's Tale,10.0-12.0,2.17,5650.0
Fable III,29.0-35.0,1.9024,5610.0
Viva Piñata: Trouble In Paradise,20.0-25.0,2.23,5570.0
Crackdown 3: Wrecking Zone,6.0-8.0,2.388,5540.0
Dante's Inferno,30.0-40.5,1.986046511627907,5530.0
Golf With Your Friends (Windows),8.0-10.0,3.424929178470255,5510.0
Crysis 2,50.0-60.0,2.672,5490.0
Fallout 3,73.0-98.0,1.610967741935484,5480.0
Viva Piñata,40.0-50.0,1.983,5470.0
Mirror's Edge,33.0-40.0,3.1944,5460.0
Alice: Madness Returns,28.0-35.0,2.505,5410.0
Fight Night Champion,0.0-0.0,14.158260869565217,5370.0
Indivisible (Windows),15.0-20.0,2.485,5340.0
Dune: Spice Wars,20.0-25.0,5.521,5260.0
Full Throttle Remastered,2.0-3.0,1.273,5250.0
Perfect Dark Zero,60.0-80.0,3.929,5220.0
Minecraft Dungeons,77.5-104.0,4.71,5140.0
Grim Fandango Remastered,8.0-10.0,1.981,5140.0
Roboquest,42.0-54.0,2.8666666666666667,5140.0
Totally Accurate Battle Simulator,8.0-10.0,4.148,5060.0
skate. (2007),20.0-25.0,2.993,5000.0
Crysis 3,22.0-28.0,2.996,4970.0
Arcade Paradise,40.0-50.0,3.81,4890.0
Fallout: New Vegas,77.0-102.0,1.9027190332326285,4750.0
Bluey: The Videogame,2.0-3.0,1.583,4730.0
Medal of Honor: Airborne,40.0-50.0,4.213,4720.0
The Walking Dead,12.0-15.0,1.331,4650.0
Cooking Simulator (Windows),0.0-2.5,1.3515,4650.0
Fable Anniversary,20.0-25.0,2.103,4640.0
Return to Monkey Island,15.0-20.0,2.881,4600.0
Ninja Gaiden 3: Razor's Edge,60.0-80.0,8.726,4550.0
Football Manager 2024 Console,15.0-20.0,2.195,4540.0
Quake II,1.0-2.0,1.765,4520.0
Goat Simulator 3,23.0-30.0,3.330573248407643,4520.0
The Walking Dead: Season Two,8.0-10.0,1.096,4460.0
ScreamRide,50.0-60.0,13.725,4450.0
Sea of Stars,40.0-50.5,2.7392523364485983,4430.0
Medieval Dynasty (Xbox One),60.0-80.0,4.924,4400.0
The Walking Dead: A New Frontier,5.0-10.0,1.067,4390.0
Ninja Gaiden Σ2,100.0-120.0,5.797,4330.0
Another Crab's Treasure,15.0-20.0,2.133,4320.0
"Warhammer 40,000: Boltgun",9.5-13.0,2.0772222222222223,4290.0
Totally Reliable Delivery Service,8.0-11.0,4.396116504854369,4270.0
Ninja Gaiden Σ,120.0-150.0,7.984,4260.0
Crysis,15.0-20.0,1.636,4090.0
