Game Name,Minimum Completion Time,Number of Achievements,TAD,Achievements per Hour,TAD per Hour
Untitled Darkness,0.5,10,10,20.0,20.0
Until the Last Plane,2.0,12,468,6.0,234.0
Unspottable,3.0,25,964,8.333333333333334,321.3333333333333
Unsouled,35.0,52,13618,1.4857142857142858,389.0857142857143
Unsolved Case: The Scarlet Hyacinth Collector's Edition,7.0,36,749,5.142857142857143,107.0
Unsolved Case: Murderous Script Collector's Edition,10.0,36,427,3.6,42.7
Unsolved Case: Killer Popularity Collector's Edition,13.0,36,611,2.769230769230769,47.0
Unsolved Case: Above the Law Collector's Edition,4.0,36,608,9.0,152.0
Unruly Heroes (Windows),23.0,26,3447,1.1304347826086956,149.8695652173913
Unruly Heroes,35.0,26,6174,0.7428571428571429,176.4
Unreal Tournament 3,80.0,50,2759,0.625,34.4875
Unravel Two,25.0,28,12490,1.12,499.6
Unravel,12.0,26,2093,2.1666666666666665,174.41666666666666
Unrailed!,53.0,53,5739,1.0,108.28301886792453
Unpacking,1.0,25,474,25.0,474.0
Unnamed Fiasco,10.0,13,565,1.3,56.5
Unmechanical: Extended (JP),2.0,17,64,8.5,32.0
Unmechanical: Extended,3.0,17,324,5.666666666666667,108.0
Unlife,6.0,11,557,1.8333333333333333,92.83333333333333
Unleaving,1.0,13,292,13.0,292.0
Unknown Fate,3.0,22,376,7.333333333333333,125.33333333333333
Unknown 9: Awakening,15.0,38,1285,2.533333333333333,85.66666666666667
Universe for Sale,6.0,17,1036,2.8333333333333335,172.66666666666666
Universe at War: Earth Assault,100.0,43,3235,0.43,32.35
United Assault - Normandy '44,3.0,29,584,9.666666666666666,194.66666666666666
United Assault - Battle of the Bulge,1.0,17,116,17.0,116.0
Unit 4,27.0,51,4221,1.8888888888888888,156.33333333333334
Unimime - Unicycle Madness,16.0,14,2052,0.875,128.25
Unicorn Overlord,50.0,51,509,1.02,10.18
Unichrome: A 1-bit Unicorn Adventure,2.0,47,1268,23.5,634.0
Unholy,12.0,27,1140,2.25,95.0
Unheard - Voices of Crime Edition,1.0,12,325,12.0,325.0
Unexplored: Unlocked Edition,191.0,30,3468,0.15706806282722513,18.157068062827225
Unepic,40.0,57,2487,1.425,62.175
Undisputed,69.0,36,1439,0.5217391304347826,20.855072463768117
Undertow,15.0,12,337,0.8,22.466666666666665
Undertale,4.0,21,1332,5.25,333.0
Undernauts: Labyrinth of Yomi (JP),92.0,24,443,0.2608695652173913,4.815217391304348
Undernauts: Labyrinth of Yomi (EU),57.0,24,1147,0.42105263157894735,20.12280701754386
Undernauts: Labyrinth of Yomi,80.0,24,1879,0.3,23.4875
Underland: The Climb,3.0,31,288,10.333333333333334,96.0
Underland,1.0,30,167,30.0,167.0
Underhero,15.0,44,1814,2.933333333333333,120.93333333333334
Undergrave,2.0,13,876,6.5,438.0
Undercat,3.0,12,537,4.0,179.0
UnderMine,80.0,96,3536,1.2,44.2
UnderDungeon,12.0,40,2432,3.3333333333333335,202.66666666666666
Under the Waves,12.0,38,1067,3.1666666666666665,88.91666666666667
Under the Warehouse,0.25,12,32,48.0,128.0
Under the Jolly Roger,57.0,14,2738,0.24561403508771928,48.03508771929825
Under Leaves,2.0,29,67,14.5,33.5
Under Defeat HD (JP),15.0,39,310,2.6,20.666666666666668
Under Defeat HD,15.0,39,624,2.6,41.6
Undead Horde 2: Necropolis,15.0,33,787,2.2,52.46666666666667
Undead Horde,10.0,24,583,2.4,58.3
Uncharted Tides: Port Royal,2.0,18,196,9.0,98.0
Uncanny Valley,2.0,12,196,6.0,98.0
Unbound: Worlds Apart,14.0,36,1059,2.5714285714285716,75.64285714285714
Unbound Saga,6.0,12,120,2.0,20.0
UnMetal,12.0,40,1320,3.3333333333333335,110.0
Umurangi Generation Special Edition,1.0,23,620,23.0,620.0
Umbraclaw,24.0,34,4113,1.4166666666666667,171.375
Ultratron,6.0,32,1188,5.333333333333333,198.0
Ultracore,26.0,21,4577,0.8076923076923077,176.03846153846155
UltraGoodness 2,0.5,18,29,36.0,58.0
UltraGoodness,0.25,11,10,44.0,40.0
Ultra Pixel Survive,0.5,18,86,36.0,172.0
Ultra Hat Dimension,1.0,11,65,11.0,65.0
Ultra Foodmess Deluxe,1.0,14,476,14.0,476.0
Ultra Foodmess 2,8.0,31,607,3.875,75.875
Ultimate Solitaire Collection,211.0,50,612,0.23696682464454977,2.9004739336492893
Ultimate Ski Jumping 2020,4.0,16,751,4.0,187.75
Ultimate Racing 2D,6.0,21,652,3.5,108.66666666666667
Ultimate Mortal Kombat 3,4.0,12,189,3.0,47.25
Ultimate Marvel vs. Capcom 3 (Xbox 360),80.0,47,3022,0.5875,37.775
Ultimate Marvel vs. Capcom 3,60.0,47,8376,0.7833333333333333,139.6
